date,event
9月1日,頃二百十日(雑節) 杭(くい)の日 キウイの日 防災の日 防災用品点検の日 美容週間 印刷月間 宇宙月間 バス利用促進月間 健康増進普及月間 自動車点検整備推進運動
9月2日,靴の日 宝くじの日
9月3日,草野球の日 ホームラン記念日 くみ愛(組合)の日 盲ろうあ児愛護デー
9月4日,くしの日 クラシック音楽の日
9月5日,石炭の日 国民栄誉賞の日 みゆき族の日
9月6日,妹の日 黒の日 墨の日 クロスワードの日 黒豆の日 鹿児島黒牛・黒豚の日 国際青年デー
9月7日,クリーナーの日 CMソングの日
9月8日,頃24節気の白露(はくろ) ニューヨークの日 国際識字デー
9月9日,菊の節句 男色の日 世界占いの日 温泉の日 救急の日 POPの日 栗きんとんの日
9月10日,寝具の日 屋外広告の日 車点検の日 知的障害者愛護デー 牛タンの日 下水道の日 カラーテレビ放送記念日
9月11日,頃二百十日(雑節) 旧暦8月15日(十五夜・お月見・すっぽんの日) 公衆電話の日 警察相談の日
9月12日,宇宙の日 水路記念日 マラソンの日 とっとり県民の日
9月13日,世界法の日 司法保護記念日 プログラマーの日
9月14日,コスモスの日 メンズバレンタインデー セプテンバーバレンタイン だんじり祭り（大阪府岸和田市）
9月15日,老人の日 ひじきの日 マスカットの日 シルバーシートの日
9月16日,マッチの日 競馬の日 ハイビジョンの日 オゾン層保護のための国際デー 鶴岡八幡宮流鏑馬（神奈川県鎌倉市）
9月17日,モノレール開業記念日 イタリア料理の日
9月18日,かいわれ大根の日
9月19日,苗字の日 木炭の日
9月20日,バスの日 お手玉の日 空の日 動物愛護週間
9月21日,ファッションショーの日 国際平和デー 秋の全国交通安全運動
9月22日,国際ビーチクリーンアップデー カーフリーデー
9月23日,頃24節気の秋分(しゅうぶん) 秋の彼岸の中日(秋分の前後1週間:秋の彼岸) テニスの日 愛馬の日 万年筆の日 不動産の日
9月24日,清掃の日 畳の日 歯科技工士記念日 結核予防週間 環境衛生週間
9月25日,主婦休みの日  
9月26日,ワープロの日 台風襲来の日
9月27日,女性ドライバーの日 世界観光の日
9月28日,世界狂犬病デー パソコン記念日 プライバシーデー
9月29日,洋菓子の日 ふぐの日 招き猫の日 クリーニングの日
9月30日,世界翻訳の日 くるみの日 奥様の日
