date,event
5月1日,メーデー 扇の日 すずらんの日
5月2日,頃八十八夜(雑節) 緑茶の日 エンピツ記念日 郵便貯金の日 交通広告の日 歯科医師記念日 博多どんたく（福岡市～4日）
5月3日,憲法記念日 ゴミの日 世界報道の自由の日 浜松まつり大凧あげ（静岡県浜松市～5日）
5月4日,みどりの日 ラムネの日 ファミリーの日 競艇の日
5月5日,こどもの日 端午の節句 児童憲章制定記念日 クスリの日 メロンの日 わかめの日 自転車の日 おもちゃの日 子供に本を贈る日 ボーイズデー レゴの日 フットサルの日 手話記念日 児童福祉週間(～11日)
5月6日,頃24節気の立夏(りっか) ゴムの日 エスカレーターの日
5月7日,博士の日 コナモン(粉物)の日
5月8日,世界赤十字デー 化粧品の日 松の日 童画の日 ゴーヤーの日
5月9日,アイスクリームの日 メイクの日 黒板の日
5月10日,コットンの日 たまり漬けの日 愛鳥の日 日本気象協会創立記念日 愛鳥週間(～16日)
5月11日,
5月12日,ナイチンゲールデー 看護の日 国際看護婦の日 アセロラの日 ザリガニの日 海上保安庁の日 民生委員・児童委員の日
5月13日,メイストームデー 愛犬の日 カクテルの日
5月14日,温度計の日 種痘記念日 情報通信月間(～6月15日)
5月15日,国際家族デー ストッキングの日 ヨーグルトの日 沖縄復帰記念日 葵祭り（京都市）
5月16日,浅草三社祭(神田祭り：東京都～18日) 旅の日
5月17日,自然保護の日 パック旅行の日 世界電気通信の日 生命・きずなの日
5月18日,ことばの日 国際博物館デー 国際親善デー 浅草山社祭（東京都～21日）
5月19日,ボクシング記念日 チャンピオンの日 ガールスカウト週間(～25日)
5月20日,ローマ字の日 世界計量記念日 森林の日 家内労働旬間(～31日)
5月21日,頃24節気の小満(しょうまん) 小学校開校の日 家内労働旬間
5月22日,ガールスカウトの日
5月23日,キスの日 恋文(ラブレター)の日
5月24日,ゴルフ場記念日
5月25日,食堂車の日 広辞苑記念日 有無の日 テレビ安全週間(～31日)
5月26日,ル・マンの日 ラッキーゾーンの日
5月27日,百人一首の日
5月28日,国際アムネスティ記念日 花火の日 ゴルフ記念日
5月29日,呉服の日 こんにゃくの日
5月30日,掃除機の日 環境美化（ゴミゼロ）の日 ごみ減量化・リサイクル推進週間(～6月4日) 消費者の日
5月31日,世界禁煙デー 禁煙週間(～6月6日)
