date,event
7月1日,クレジットの日 銀行の日 弁理士の日 建築士の日 ウォークマンの日 童謡の日 国民安全の日 こころの看護の日 更生保護の日 鉄スクラップの日 山開き 富士山山開き 海開き 博多祇園山笠（福岡市） プール開き 全国安全週間 郵便番号週間 社会を明るくする運動 河川・海岸愛護月間 夏の省エネキャンペーン 夏期食品一斉取締まり
7月2日,頃半夏生(ハンゲショウ:雑節) うどんの日 蛸の日 たわしの日  
7月3日,通天閣の日 波の日 サーファーデー ソフトクリームの日 湘南平塚七夕祭
7月4日,梨の日 和服・洋服お直しの日 那須の日
7月5日,あなごの日 ビキニスタイルの日
7月6日,ピアノの日 サラダ記念日 公認会計士の日 ゼロ戦の日 記念日の日 入谷朝顔市(東京)
7月7日,頃24節気の小暑(しょうしょ) 七夕の日 ゆかたの日 乾麺の日 カルピスの日 冷やし中華の日 ギフトの日 香りの日 ラブスターズデー サマーラバーズデー サマーバレンタインデー 川の日 筍の日 竹の日 ポニーテールの日 スリーセブンデー
7月8日,質屋の日 ナンパの日
7月9日,ジェットコースターの日 浅草寺ほうずき市(東京)
7月10日,納豆の日 ウルトラマンの日 国土建設週間
7月11日,真珠記念日 世界人口デー
7月12日,人間ドックの日 日本標準時刻記念日 洋食器の日
7月13日,オカルト記念日 生命尊重の日 盆・迎え火 ナイスの日
7月14日,ひまわりの日 求人広告の日 検疫記念日 パリ祭
7月15日,中元 盆 盂蘭盆会 ファミコンの日 勤労青年の日
7月16日,薮入り 盆送り火 駅弁記念日
7月17日,漫画の日 東京の日 祇園祭山鉾巡行（京都市）
7月18日,光化学スモッグの日
7月19日,女性大臣の日 スーパーウーマンの日 北壁の日
7月20日,頃※夏の土用(～立秋の前日までの2週間) 土用の丑の日 鰻の日 海の記念日 ハンバーガーの日 Ｔシャツの日 修学旅行の日 ファクシミリの日 海の旬間
7月21日,神前結婚記念日 自然公園の日 森と海に親しむ旬間 自然に親しむ運動月間 雑誌愛読月間
7月22日,下駄の日 ナッツの日
7月23日,頃24節気の大暑(たいしょ) 文月ふみの日 天ぷらの日 犬の日
7月24日,地蔵盆 地蔵会 劇画の日 天神祭り（大阪市）
7月25日,かき氷の日 夏氷の日 味の素の日  
7月26日,日光の日 幽霊の日
7月27日,スイカの日 政治を考える日
7月28日,菜っ葉の日 乱歩の日 なにわの日 水路記念日
7月29日,アマチュア無線の日
7月30日,プロレス記念日 住吉祭り（大阪市）
7月31日,パラグライダーの日 蓄音機の日 こだまの日
