date,event
8月1日,洗濯機の日 パインの日 花火の日 麻雀の日 麻雀(パイ)の日 島の日 肺の日 世界母乳の日 自然環境クリーンデー 夏の省エネ総点検の日 観光の日 水の日 観光週間 電気使用安全月間 パイン消費拡大月間
8月2日,ハーブの日 パンツの日 歩行者天国記念日 博多人形の日 ねぶた祭り（青森市） ハラスメントフリーの日
8月3日,ハサミの日 はちみつの日 ビーチサンダルの日 鱧(ハモ)の日 破産の日 食品衛生週間
8月4日,ゆかたの日 箸の日 橋の日 ビアホールの日 竿燈まつり(秋田市)
8月5日,タクシーの日 印章(ハンコ)の日 ハコの日 山形花笠まつり（山形市）
8月6日,広島平和記念日 ハムの日 アマチュア無線の日 雨水の日 太陽熱発電の日 世界ハロー・デー 仙台七夕まつり（宮城県仙台市）
8月7日,月遅れの七夕 鼻の日 花の日 バナナの日
8月8日,頃24節気の立秋(りっしゅう) そろばんの日 親孝行の日 発酵食品の日 タコの日 パパイヤの日 ハゼの日 白玉の日 ひょうたんの日 ヒゲの日 デブの日 笑いの日 地球歌の日 蝶々の日 歯並びの日 白桃の日
8月9日,長崎原爆の日 野球の日 はり・きゅう・マッサージの日 パーク(駐車場)の日 薬草の日 よさこい祭り（高知市）
8月10日,帽子の日 トイレの日 道の日 宿の日 ホームヘルパーの日 健康ハートの日 バイトの日 焼き鳥の日 衛生陶器の日 健康ハート週間
8月11日,ガンバレの日
8月12日,国際青少年デー 君が代記念日 航空自衛隊安全の日 阿波踊り（徳島市）
8月13日,月遅れ盆迎え火 左利きの日
8月14日,専売特許の日
8月15日,月遅れ盆 終戦記念日 刺身の日 精霊流し（長崎市）
8月16日,月遅れ盆送り火 女子大生の日 精霊流し 大文字五山送り火（京都市）
8月17日,沖縄全島エイサー祭り(旧盆明け) パイナップルの日 プロ野球ナイターの記念日
8月18日,高校野球記念日
8月19日,バイクの日 俳句の日 クラシック音楽の日
8月20日,頃※夏の土用(～立秋の前日までの2週間) 土用の丑の日 鰻の日 蚊の日 交通信号の日
8月21日,噴水の日 献血記念日
8月22日,チンチン電車の日  
8月23日,頃24節気の処暑(しょしょ) 白虎隊の日 ウクレレの日
8月24日,月遅れ地蔵盆 ラグビーの日 愛酒の日
8月25日,即席ラーメン記念日 サマークリスマス 宿題チェックウィーク
8月26日,ユースホステルの日
8月27日,寅さんの日
8月28日,バイオリンの日 気象予報士の日
8月29日,焼肉の日 ケーブルカーの日 ベルバラの日
8月30日,冒険家の日 ハッピーサンシャインデー 防災週間
8月31日,野菜の日(ベジタブルデー)
