date,event
10月1日,印章の日 コーヒーの日 日本酒の日 ネクタイの日 香水の日 メガネの日 法の日 土地の日 デザインの日 浄水槽の日 国際音楽の日 国際高齢者の日 衣替えの日 日本茶の日
10月2日,豆腐の日 望遠鏡の日 国際非暴力デー
10月3日,登山の日 飲むオリーブオイルの日
10月4日,いわしの日 陶器の日 証券投資の日 天使の日 里親デー 探し物の日 徒歩の日 国連世界宇宙週間
10月5日,レモンの日 折り紙供養の日 時刻表記念日 レジ袋ゼロデー
10月6日,国際協力の日 国際ボランティア貯金の日 役所改革の日 石油の日 国際文通週間 
10月7日,ミステリー記念日 シャツの日 盗難防止の日 おくんち（長崎市）
10月8日,頃24節気の甘露(かんろ) 足袋の日 木の日 骨と関節の日 国立公園制定記念日 入れ歯感謝デー ようかんの日
10月9日,塾の日 トラックの日 道具の日 世界郵便デー アマチュアンドッグの日 飛騨高山秋祭り（岐阜県高山市） 金刀比羅宮例大祭（香川県琴平町）
10月10日,マグロの日 缶詰の日 冷凍麺の日 釣りの日 銭湯の日 トレーナーの日 アイメイト・デー 目の愛護デー 島の日 世界精神保健デー 充実野菜の日 魚の日
10月11日,ウィンクの日 安全・安心なまちづくりの日
10月12日,豆乳の日 PRの日 コロンブス・デー
10月13日,サツマイモの日 豆の日 引っ越しの日 麻酔の日
10月14日,鉄道の日 焼きうどんの日 世界標準の日 ＰＴＡ結成の日 ＰＴＡ週間 40歳からの健康週間
10月15日,世界手洗いの日 人形の日 きのこの日 草履の日 たすけあいの日 新聞週間
10月16日,ボスの日 世界食糧デー
10月17日,上水道の日 カラオケ文化の日 貯蓄の日 沖縄そばの日 薬と健康の週間
10月18日,冷凍食品の日 ドライバーの日 ミニスカートの日 統計の日 世界メノポーズデー
10月19日,バーゲンの日 海外旅行の日
10月20日,頭髪の日 ソフト化の日 リサイクルの日 新聞広告の日 電信電話週間 
10月21日,あかりの日 国際反戦デー 国連週間 婦人労働旬間
10月22日,パラシュートの日 平安遷都の日 絹婚記念日 時代祭り（京都市） 鞍馬の火祭り（京都市）
10月23日,頃24節気の霜降(そうこう) 電信電話記念日 津軽弁の日
10月24日,国連デー 文鳥の日 世界開発情報の日 郵便貯金週間
10月25日,民間航空記念日 リクエストの日 世界パスタデー 
10月26日,原子力の日 反原子力デー サーカスの日 柿の日 きしめんの日 青汁の日
10月27日,テディベアズデー 文字・活字文化の日 世界新記録の日 読書の日 読書週間
10月28日,速記記念日 透明美肌の日 群馬県民の日
10月29日,ホームビデオの日 おしぼりの日 てぶくろの日 とらふぐの日
10月30日,たまごかけごはんの日 マナーの日 香りの記念日 初恋の日
10月31日,ハロウィン 日本茶の日 ガスの記念日 天才の日
