date,event
12月1日,映画の日 映画ファン感謝デー 鉄の日 冬の省エネ総点検の日 防災用品点検の日 カイロの日
12月2日,原子炉の日 日本人宇宙飛行記念日 安全かみそりの日 全国防火デー 秩父夜祭り（埼玉県秩父市～3日）
12月3日,国際障害者デー カレンダーの日 個人タクシーの日 奇術の日 妻の日 自動車電話の日 コードレス電話の日
12月4日,血清療法の日 人権週間(～10日)
12月5日,国際ボランティアデー 社会福祉週間(～11日) 
12月6日,姉の日 音の日 麦の日 シンフォニー記念日
12月7日,大雪(たいせつ) クリスマスツリーの日
12月8日,針供養
12月9日,障害者の日 地球感謝の日
12月10日,世界人権デー アロエヨーグルトの日
12月11日,ユニセフ創立記念日 百円玉記念日 タンゴの日 胃腸の日
12月12日,漢字の日 バッテリーの日 ダズンローズデー 児童福祉法公布記念日
12月13日,正月事始め 煤(すす)払いの日 ビタミンの日 双子の日
12月14日,南極の日 麺の日 赤穂義士祭（兵庫県赤穂市）
12月15日,観光バスの日 年末年始の食料等一斉取締まり(～14日)
12月16日,電話の日 電話創業の日 紙の記念日
12月17日,飛行機の日 浅草観音羽子板市（東京都）
12月18日,国連加盟承認の日 東京駅の日
12月19日,日本初旅行の日
12月20日,デパート開業の日 シーラカンスの日 鰤（ぶり）の日
12月21日,クロスワードパズルの日 遠距離恋愛の日
12月22日,冬至(とうじ) かぼちゃの日 改正民法公布記念日 労働組合法制定記念日
12月23日,天皇誕生日 テレホンカードの日 東京タワー完成の日
12月24日,クリスマスイブ
12月25日,クリスマス 昭和の日 スケートの日
12月26日,プロ野球誕生の日 ボクシングデー
12月27日,松迎え しめ飾り ピーターパンの日 浅草仲見世記念日
12月28日,官公庁御用納め 身体検査の日 ディスクジョッキーの日 シネマトグラフの日
12月29日,シャンソンの日
12月30日,取引所大納会 地下鉄記念日
12月31日,大晦日
