date,event
6月1日,写真の日 真珠の日 麦茶の日 チーズの日 チューインガムの日 氷の日 バッジの日 ねじの日 梅の日 気象記念日 電波の日 衣替えの日 防災用品点検の日 映画ファン感謝デー
6月2日,路地の日 裏切りの日 甘露煮の日 カレー記念日
6月3日,測量の日
6月4日,虫の日 むしの日 ローメンの日 虫歯予防デー 歯の衛生週間 ねずみ・衛生害虫駆除推進月間
6月5日,世界環境デー 環境の日 熱気球記念日 熱田祭り（名古屋市）
6月6日,頃24節気の芒種(ぼうしゅ) 兄の日 家族団らんの日 邦楽の日 楽器の日 生け花の日 おけいこの日 ヨーヨーの日 かえるの日 飲み水の日 補聴器の日 恐怖の日
6月7日,母親大会記念日 計量記念日
6月8日,バイキングの日 ただの日 学校の安全確保・安全管理の日
6月9日,リサイクルの日 ロックの日 ネッシーの日 ポルノの日
6月10日,ミルクキャラメルの日 商工会の日 歩行者天国の日 時の記念日 路面電車の日 無糖茶飲料の日 火薬類危害予防週間
6月11日,頃入梅(雑節) 傘の日 国立銀行設立の日 雨漏り点検の日 学校図書館の日
6月12日,恋人の日 バザー記念日 日記の日
6月13日,ＦＭの日 鉄人の日 小さな親切の日
6月14日,
6月15日,暑中見舞いの日 信用金庫の日
6月16日,和菓子の日 麦とろの日 無重力の日 ケーブルテレビの日
6月17日,おまわりさんの日 世界砂漠化防止の日
6月18日,海外移住の日 おにぎりの日
6月19日,ベースボール記念日 元号の日 朗読の日 国連協力週間
6月20日,ローマ字の日 世界計量記念日 森林の日 家内労働旬間
6月21日,頃健康住宅の日 難民の日 ペパーミントデー スナックの日 夏の健康を守る運動
6月22日,頃24節気の夏至(げし) 冷蔵庫の日 かにの日 ボーリングの日
6月23日,オリンピックデー 沖縄慰霊の日 男女共同参画週間
6月24日,ドレミの日 ＵＦＯ記念日
6月25日,住宅デー
6月26日,露天風呂の日 不正取引防止デー オリエンテーリングの日 雷記念日
6月27日,女性雑誌の日 演説の日 日照権の日
6月28日,パフェの日 貿易記念日
6月29日,
6月30日,トランジスタの日 ハーフタイムデー 大祓の日
